created_at,entry_id,field1
2024-05-04 11:34:07 UTC,1,02:00:16 Pastillero encendido.  IP: 192.168.8.70
2024-05-04 11:37:44 UTC,2,02:00:06 Pastillero encendido.  IP: 192.168.8.70
2024-05-04 11:43:43 UTC,3,02:00:06 Pastillero encendido.  IP: 192.168.8.70
2024-05-04 11:44:20 UTC,4,13:44:20 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:44:56 UTC,5,13:44:55 Llave RFID 03A7C8B6 :: Posicion 1.00 dispensada
2024-05-04 11:45:13 UTC,6,13:45:12 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:45:30 UTC,7,02:00:06 Pastillero encendido.  IP: 192.168.8.70
2024-05-04 11:49:19 UTC,8,02:00:16 Pastillero encendido.  IP: 192.168.8.70
2024-05-04 11:50:14 UTC,9,13:50:13 Telegram de 65326365 :: Pas.on :: Pastillero activado
2024-05-04 11:50:39 UTC,10,13:50:39 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:51:27 UTC,11,13:51:26 Llave RFID 03A7C8B6 :: Posicion 1.00 dispensada
2024-05-04 11:52:02 UTC,12,13:52:02 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:52:41 UTC,13,13:52:41 Llave RFID 03A7C8B6 :: Posicion 2.00 dispensada
2024-05-04 11:53:04 UTC,14,13:53:03 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:53:40 UTC,15,13:53:39 Llave RFID 03A7C8B6 :: Posicion 3.00 dispensada
2024-05-04 11:53:56 UTC,16,13:53:56 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:54:36 UTC,17,13:54:36 Llave RFID 03A7C8B6 :: Posicion 4.00 dispensada
2024-05-04 11:55:27 UTC,18,13:55:26 Llave RFID 03A7C8B6 :: Posicion 5.00 dispensada
2024-05-04 11:56:26 UTC,19,13:56:25 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:57:01 UTC,20,13:57:01 Llave RFID 03A7C8B6 :: Posicion 6.00 dispensada
2024-05-04 11:57:36 UTC,21,13:57:36 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:58:06 UTC,22,13:58:05 Llave RFID 03A7C8B6 :: Posicion 7.00 dispensada
2024-05-04 11:58:29 UTC,23,13:58:28 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 11:59:10 UTC,24,13:59:09 Llave RFID 03A7C8B6 :: Posicion 8.00 dispensada :: Queda una toma 
2024-05-04 12:00:02 UTC,25,14:00:01 Llave RFID 03A7C8B6 :: Posicion 9.00 dispensada
2024-05-04 12:00:24 UTC,26,14:00:23 Telegram de 65326365 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-04 12:00:40 UTC,27,14:00:40 Llave RFID 03A7C8B6 :: Posicion 1.00 dispensada
2024-05-04 12:00:59 UTC,28,14:00:58 Llave RFID 03A7C8B6 :: Posicion 2.00 dispensada
2024-05-04 12:01:16 UTC,29,14:01:15 Llave RFID 03A7C8B6 :: Posicion 3.00 dispensada
2024-05-04 12:01:35 UTC,30,14:01:34 Llave RFID 03A7C8B6 :: Posicion 4.00 dispensada
2024-05-04 12:01:50 UTC,31,14:01:50 Llave RFID 03A7C8B6 :: Posicion 5.00 dispensada
2024-05-04 12:02:05 UTC,32,14:02:05 Llave RFID 03A7C8B6 :: Posicion 6.00 dispensada
2024-05-04 12:02:20 UTC,33,14:02:20 Llave RFID 03A7C8B6 :: Posicion 7.00 dispensada
2024-05-04 12:02:42 UTC,34,14:02:42 Llave RFID 03A7C8B6 :: Posicion 8.00 dispensada :: Queda una toma 
2024-05-04 12:02:58 UTC,35,14:02:57 Llave RFID 03A7C8B6 :: Posicion 9.00 dispensada
2024-05-04 12:47:04 UTC,36,02:00:06 Pastillero encendido.  IP: 192.168.8.70
2024-05-04 13:25:07 UTC,37,02:00:24 Pastillero encendido.  IP: 192.168.8.70
2024-05-04 13:25:41 UTC,38,15:25:40 Hora programada para toma 
2024-05-04 13:26:12 UTC,39,02:00:16 Pastillero encendido.  IP: 192.168.8.70
2024-05-04 13:27:58 UTC,40,15:27:56 Hora programada para toma 
2024-05-04 13:28:21 UTC,41,15:28:21 Llave RFID 03A7C8B6 :: Posicion 1.00 dispensada
2024-05-04 13:33:12 UTC,42,02:00:15 Pastillero encendido.  IP: 192.168.8.70
2024-05-06 11:05:14 UTC,43,02:00:36 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:05:30 UTC,44,13:05:29 Telegram de 6464491575 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-06 11:06:00 UTC,45,13:05:59 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:28:38 UTC,46,02:07:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:32:49 UTC,47,13:32:46 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:33:11 UTC,48,13:33:10 Telegram de 6464491575 :: Pas.off :: Pastillero apagado
2024-05-06 11:34:19 UTC,49,02:00:11 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:35:53 UTC,50,13:35:51 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:36:18 UTC,51,13:36:18 Telegram de 6464491575 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-06 11:37:01 UTC,52,13:37:01 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:37:29 UTC,53,13:37:28 Telegram de 6464491575 :: Pas.off :: Pastillero apagado
2024-05-06 11:39:34 UTC,54,02:00:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:40:16 UTC,55,02:00:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:40:33 UTC,56,13:40:33 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:41:30 UTC,57,02:00:08 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:42:42 UTC,58,13:42:38 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:43:05 UTC,59,13:43:04 Telegram de 6464491575 :: Pas.pastilla :: Toma forzada por mensaje Telegram
2024-05-06 11:43:27 UTC,60,13:43:26 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:44:34 UTC,61,02:00:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:44:53 UTC,62,13:44:52 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:45:08 UTC,63,13:45:07 Telegram de 6464491575 :: Pas.pastilla :: Toma forzada por mensaje Telegram :: Preparada :: Avisando.
2024-05-06 11:45:32 UTC,64,13:45:31 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:46:07 UTC,65,02:00:08 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:46:29 UTC,66,13:46:28 Telegram de 6464491575 :: Pas.on :: Pastillero activado
2024-05-06 11:47:03 UTC,67,13:47:03 Llave RFID 93F2BEB6 :: Posicion 1.00 dispensada
2024-05-06 11:48:31 UTC,68,02:00:05 Pastillero encendido.  IP: 192.168.50.21
2024-05-06 11:49:23 UTC,69,13:49:22 Telegram de 6464491575 :: Pas.off :: Pastillero apagado
